run,learning_rate,buffer_size,batch_size,gamma,exploration_fraction,exploration_final_eps,target_update_interval,train_freq,mean_reward,std_reward,training_time_s
1,0.001,50000,64,0.99,0.2,0.05,500,4,15.95,18.624,100.7
2,0.0005,100000,64,0.99,0.3,0.05,500,4,29.6,1.21,97.5
3,0.005,50000,64,0.99,0.2,0.05,500,4,29.35,2.933,99.8
4,0.001,50000,64,0.9,0.2,0.05,500,4,23.35,1.797,100.6
5,0.001,50000,64,0.999,0.2,0.05,500,4,27.975,12.219,96.3
6,0.001,50000,32,0.99,0.2,0.05,500,4,28.275,8.258,95.6
7,0.001,50000,256,0.99,0.2,0.05,500,4,30.225,2.998,97.5
8,0.001,50000,64,0.99,0.5,0.1,500,4,29.65,3.468,90.1
9,0.001,50000,64,0.99,0.1,0.01,500,4,27.1,11.318,99.5
10,0.001,50000,64,0.99,0.2,0.05,100,1,28.85,10.23,240.8
