run,learning_rate,n_steps,batch_size,gamma,gae_lambda,clip_range,ent_coef,n_epochs,mean_reward,std_reward,training_time_s
1,0.0003,2048,64,0.99,0.95,0.2,0.0,10,23.125,2.247,183.1
2,0.0001,2048,64,0.99,0.95,0.2,0.0,10,21.3,7.201,182.6
3,0.001,2048,64,0.99,0.95,0.2,0.0,10,25.35,2.116,182.7
4,0.0003,2048,64,0.99,0.95,0.1,0.0,10,20.775,7.058,182.6
5,0.0003,2048,64,0.99,0.95,0.3,0.0,10,23.625,1.619,182.5
6,0.0003,2048,64,0.99,0.95,0.2,0.01,10,24.625,1.34,182.5
7,0.0003,2048,64,0.99,0.95,0.2,0.05,10,23.55,2.091,183.8
8,0.0003,2048,64,0.95,0.95,0.2,0.0,10,22.6,1.921,183.1
9,0.0003,2048,64,0.99,0.95,0.2,0.0,20,23.425,2.843,238.9
10,0.0003,512,32,0.99,0.95,0.2,0.0,10,27.65,2.174,243.4
