run,learning_rate,gamma,entropy_coef,hidden_size,episodes_per_update,mean_reward,std_reward,training_time_s
1,0.001,0.99,0.0,64,5,-48.5,0.0,225.8
2,0.0005,0.99,0.0,64,5,-5.5,17.321,225.8
3,0.005,0.99,0.0,64,5,-10.0,19.098,239.8
4,0.001,0.9,0.0,64,5,-2.0,0.0,213.0
5,0.001,0.999,0.0,64,5,-1.975,0.109,216.5
6,0.001,0.99,0.01,64,5,-3.6,18.398,220.9
7,0.001,0.99,0.05,64,5,-12.5,17.074,218.0
8,0.001,0.99,0.0,128,5,-3.0,12.99,231.5
9,0.001,0.99,0.0,64,10,-1.0,23.34,202.2
10,0.001,0.99,0.0,64,5,4.45,18.393,219.6
